[2026-07-01 06:40:00] INFO ShipmentService - order_id=ORD-10448 customer_id=CUST-0130 carrier=UPS tracking_number=1Z904505683 status=OUT_FOR_DELIVERY origin=Vancouver,BC dest=Kathmandu,NP weight_kg=1.22
[2026-07-01 06:52:00] INFO ShipmentService - order_id=ORD-10185 customer_id=CUST-0011 carrier=UPS tracking_number=1Z628480415 status=OUT_FOR_DELIVERY origin=Denver,CO dest=Sydney,AU weight_kg=1.39
[2026-07-01 07:24:00] INFO ShipmentService - order_id=ORD-10095 customer_id=CUST-0079 carrier=DHL Express tracking_number=1Z697892214 status=IN_TRANSIT origin=Toronto,ON dest=Toronto,ON weight_kg=0.76
[2026-07-01 07:41:00] INFO ShipmentService - order_id=ORD-10489 customer_id=CUST-0007 carrier=DHL Express tracking_number=1Z287598577 status=DELIVERED origin=Melbourne,AU dest=Denver,CO weight_kg=9.97
[2026-07-01 07:44:00] INFO ShipmentService - order_id=ORD-10096 customer_id=CUST-0018 carrier=FedEx tracking_number=1Z222373596 status=IN_TRANSIT origin=Manchester,UK dest=Bristol,UK weight_kg=7.49
[2026-07-01 07:59:00] INFO ShipmentService - order_id=ORD-10393 customer_id=CUST-0069 carrier=USPS tracking_number=1Z942764719 status=IN_TRANSIT origin=Vancouver,BC dest=Manchester,UK weight_kg=4.39
[2026-07-01 08:35:00] INFO ShipmentService - order_id=ORD-10556 customer_id=CUST-0056 carrier=DHL Express tracking_number=1Z841027438 status=DELIVERED origin=Denver,CO dest=Bengaluru,IN weight_kg=10.51
[2026-07-01 08:42:00] INFO ShipmentService - order_id=ORD-10298 customer_id=CUST-0068 carrier=FedEx tracking_number=1Z590845651 status=DELIVERED origin=Berlin,DE dest=Mumbai,IN weight_kg=11.56
[2026-07-01 08:49:00] INFO ShipmentService - order_id=ORD-10192 customer_id=CUST-0098 carrier=FedEx tracking_number=1Z145064341 status=IN_TRANSIT origin=Bengaluru,IN dest=Munich,DE weight_kg=6.19
[2026-07-01 08:57:00] INFO ShipmentService - order_id=ORD-10570 customer_id=CUST-0064 carrier=UPS tracking_number=1Z882059080 status=OUT_FOR_DELIVERY origin=Manchester,UK dest=Denver,CO weight_kg=3.65
[2026-07-01 09:30:00] INFO ShipmentService - order_id=ORD-10581 customer_id=CUST-0069 carrier=USPS tracking_number=1Z206616380 status=IN_TRANSIT origin=Kathmandu,NP dest=Bengaluru,IN weight_kg=2.02
[2026-07-01 09:39:00] INFO ShipmentService - order_id=ORD-10101 customer_id=CUST-0113 carrier=FedEx tracking_number=1Z571489117 status=DELIVERED origin=Bengaluru,IN dest=Toronto,ON weight_kg=11.64
[2026-07-01 09:40:00] INFO ShipmentService - order_id=ORD-10555 customer_id=CUST-0024 carrier=UPS tracking_number=1Z608592130 status=OUT_FOR_DELIVERY origin=Bengaluru,IN dest=Mumbai,IN weight_kg=4.23
[2026-07-01 09:46:00] INFO ShipmentService - order_id=ORD-10508 customer_id=CUST-0131 carrier=DHL Express tracking_number=1Z910508874 status=DELIVERED origin=Manchester,UK dest=Kathmandu,NP weight_kg=5.1
[2026-07-01 10:02:00] INFO ShipmentService - order_id=ORD-10443 customer_id=CUST-0069 carrier=UPS tracking_number=1Z668707653 status=IN_TRANSIT origin=Mumbai,IN dest=Mumbai,IN weight_kg=5.18
[2026-07-01 10:30:00] INFO ShipmentService - order_id=ORD-10553 customer_id=CUST-0015 carrier=USPS tracking_number=1Z654217523 status=IN_TRANSIT origin=Bristol,UK dest=Berlin,DE weight_kg=9.58
[2026-07-01 10:32:00] INFO ShipmentService - order_id=ORD-10477 customer_id=CUST-0025 carrier=USPS tracking_number=1Z110682349 status=OUT_FOR_DELIVERY origin=Denver,CO dest=Mumbai,IN weight_kg=8.67
[2026-07-01 10:37:00] INFO ShipmentService - order_id=ORD-10154 customer_id=CUST-0101 carrier=FedEx tracking_number=1Z531269332 status=IN_TRANSIT origin=Manchester,UK dest=Manchester,UK weight_kg=11.79
[2026-07-01 10:41:00] INFO ShipmentService - order_id=ORD-10099 customer_id=CUST-0098 carrier=USPS tracking_number=1Z808858764 status=IN_TRANSIT origin=Mumbai,IN dest=Portland,OR weight_kg=11.09
[2026-07-01 11:18:00] INFO ShipmentService - order_id=ORD-10488 customer_id=CUST-0056 carrier=FedEx tracking_number=1Z957995699 status=OUT_FOR_DELIVERY origin=Melbourne,AU dest=Kathmandu,NP weight_kg=7.99
[2026-07-01 11:37:00] INFO ShipmentService - order_id=ORD-10014 customer_id=CUST-0022 carrier=USPS tracking_number=1Z852467956 status=IN_TRANSIT origin=Bristol,UK dest=Melbourne,AU weight_kg=6.73
[2026-07-01 11:58:00] INFO ShipmentService - order_id=ORD-10313 customer_id=CUST-0142 carrier=DHL Express tracking_number=1Z400412284 status=DELIVERED origin=Portland,OR dest=Bengaluru,IN weight_kg=10.82
[2026-07-01 12:08:00] INFO ShipmentService - order_id=ORD-10075 customer_id=CUST-0122 carrier=USPS tracking_number=1Z320260494 status=DELIVERED origin=Berlin,DE dest=Melbourne,AU weight_kg=10.67
[2026-07-01 12:48:00] INFO ShipmentService - order_id=ORD-10535 customer_id=CUST-0128 carrier=USPS tracking_number=1Z971696978 status=OUT_FOR_DELIVERY origin=Kathmandu,NP dest=Manchester,UK weight_kg=9.42
[2026-07-01 13:01:00] INFO ShipmentService - order_id=ORD-10040 customer_id=CUST-0005 carrier=DHL Express tracking_number=1Z677064820 status=DELIVERED origin=Austin,TX dest=Portland,OR weight_kg=4.15
[2026-07-01 13:10:00] INFO ShipmentService - order_id=ORD-10368 customer_id=CUST-0141 carrier=DHL Express tracking_number=1Z649403202 status=OUT_FOR_DELIVERY origin=Toronto,ON dest=Austin,TX weight_kg=6.71
